sk_empresas,cnpj_empresa,flag_matriz,nm_razao_social,cd_natureza_juridica,de_natureza_juridica,de_situacao,de_classif_natureza_juridica,de_saude_tributaria,de_nivel_atividade,registro_antt,flag_optante_simples,flag_optante_simei
"MBH#:*66I(F5DT?%QK(\B'",468710000140,SIM,ASSOCIACAO ESPORTIVA E RECREATIVA VASP,3999,ASSOCIACAO PRIVADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"KN""XABH<;+'I,>=F!I4]C""",5745076000160,SIM,J M GARCIA ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"A(F""C*M&?L!5NX$<@MYVK'",3215698000150,SIM,ALEXANDRE CARLOS DA COSTA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"P[,`ZC^O8(V-7[AL2A`_B#",610197000180,SIM,MARIA VALDIVIA TEIXEIRA LIMA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"B9I8_5L?.077FH1,\D?N(%",4311523000100,SIM,VALMOR TEDESCO ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"C;ZY2]XLQD.?X7Z""A2#AE)",16934923000150,SIM,TECNOTOR USINAGEM DE PRECISAO EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
CNFJG;5PJS76N219N<`\)/,11808007000150,SIM,CRISTIANO FLORES DA ROSA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,SIM
"G=F,74$\,;W(ZIL;L;'WW0",14151347000140,SIM,LOPESS NICOLA TRANSPORTES LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
"I)(<\IP@9UY\Z/,3UV:7\.",13149476000130,SIM,SELMA LEAL DO NASCIMENTO DE SOUZA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"H=GD*KVZBHO'4D""NG])M:'",4808359000140,SIM,INPAMAD INDUSTRIA E COMERCIO DE BIOMASSA EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERMELHO,MEDIA,SIM,NAO,NAO
"L5,2C$_S[T-ON#K/DY)QI(",7041903000160,SIM,MARIA A DE ASSIS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,NAO,NAO
NEL4RYOJI-/E=_V1TV9>V+,13028644000130,SIM,SAULO CHAVES RAMOS RIBEIRO MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
JL+`\SZ#<3\Q[==_H]UDQ(,12328637000190,SIM,HELOISA HELENA SA DE OLIVEIRA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,SIM
"N#RC%A/6U5$OU*KK?(T)$""",9304811000150,SIM,NAUDIR DE OLIVEIRA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
HAGRQ5?\Z<1:#!)+]O6E7),11035887000170,SIM,INDUSTRIA E COMERCIO DE BISCOITOS DOCE DELICIA EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"M3/I,Q0UIF.8OG967E%7X(",11821588000160,SIM,ROSEMERE GOMES DOS SANTOS ROCHA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
G[%E45V#HYX-MS2W_@1+=-,42968099000160,SIM,MARISA CRISTINA CARNIATO DIAS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"F`>TB6.';\RBMR$G:HHM/%",1279444000170,SIM,N P SILVA SERIGRAFIA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"K`,:+!`!PPHO^:P$C$'B`.",15199136000140,SIM,TV ARATU SA,2054,SOCIEDADE ANONIMA FECHADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"A]J[G5[GN""<D:RP/M9'.+'",9287546000140,SIM,WILSON MARCIO DE ALMEIDA,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"GZFU7'ZMN[LU#T-ZT4RYO/",4194331000160,SIM,MODENA PARTICIPACOES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"JD9_YLWYJP""(]D62YCFE@'",6063312000120,SIM,FERNANDA NICOLE RIBEIRO ZANELLA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,MUITO BAIXA,SIM,NAO,NAO
"CPN?5:$4CQ.RW-YND$5*G""",7733362000130,SIM,WALDIR CARLOS COSMO ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,VERDE,INATIVA,SIM,NAO,NAO
"KQN`D!=MD>]6F""M;"";C?J-",28382885000230,NAO,AMAH INCORPORACAO CONSTRUCAO E PARTICIPACOES LTDA,2240,SOCIEDADE SIMPLES LIMITADA,ATIVA,PRIVADO,VERMELHO,BAIXA,SIM,NAO,NAO
OTIWQ;A]ZVET[\K%\@/3\/,33138686000130,SIM,HAMEG CONFECCAO COMERCIO E REPRESENTACOES LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
"J#50D,7DL1H,31TWD,L:?.",12923705000160,SIM,ANTONIO RODRIGUES DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"C_A""8<VHS8`R+D4T,3+K6*",84615871000100,SIM,MAO UNICA MODAS EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,NAO
K-MIW5:@S$)X>RUN4?MCM&,11855454000160,SIM,FABIO JOSE ADRIANO RESTAURANTE ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"GT:U_T`O"":/N-006&U*1E%",51946200001730,NAO,EZENTIS SERVICOS ENGENHARIA E INSTALACAO DE COMUNICACOES SA,2054,SOCIEDADE ANONIMA FECHADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
HBX6@][9@)Y<GH]_45J;Q!,3983509002800,NAO,ORDEM DOS ADVOGADOS DO BRASIL SECAO MATO GROSSO DO SUL,1104,AUTARQUIA FEDERAL,ATIVA,PUBLICO,VERDE,MEDIA,SIM,NAO,NAO
PP2JI&BY]KEIYP9?&#\DK*,1867560000100,SIM,PRATA VEICULOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
"M+""%@TI.C3!<`8)&D+UT!%",5453905000130,SIM,SANIF SOCIEDADE AMIGOS NORTE DA ILHA DE FLORIANOPOLIS,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
PBB5$)F]R_BY83[4_M:BT),914240000100,SIM,P B GOUVEIA FILHO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
AB0I/I83*\(=1$Z-U;0DO0,10640884000100,SIM,EKYPHONE DO BRASIL SERVICE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"PKBI*>R6XZX@_UMJK""!'=-",14160819000120,SIM,PS SOUSA MINIMERCADO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
MJ:AC5.J]S_WG/TVL?6K)!,79655007000100,SIM,MONIC COMERCIO EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
P&DWJ<SJVN7V>Z+Q&D%0>(,1765332000200,NAO,BEZERRA COMERCIO DE COMBUSTIVEIS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
PT=*8)63CG7(/UQ&0.8L:),4176391000150,SIM,GARCIA & BUZACHI LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
L+:*\C9<Z1&OLU!:I#_*_%,10378399000100,SIM,DANIELA ROOS & CIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,NAO
A`??)=:U6KX9[HKZHKMQ;*,12533426000190,SIM,JONATHAN BACCARO DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,SIM
G>JGC*;#[</!N)IS/2>FW(,95421046000190,SIM,AGROPECUARIA VALIATI LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"K(!8/W2?GR@#4'G,D;12'#",42782219000130,SIM,ACADEMIA IMPACTO CENTER LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"C)BF^5""O/=JIZN&!GK:$Z/",9182166000140,SIM,MECA MOVIMENTO ESPIRITA CAMINHEIROS NO AMOR,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"AU;<LZN09(/1HE,%>_/BR,",9521296000160,SIM,PARTIDO SOCIALISTA BRASILEIRO,3271,ORGAO DE DIRECAO LOCAL DE PARTIDO POLITICO,ATIVA,PUBLICO,AMARELO,MEDIA,SIM,NAO,NAO
G`D<D$C4VI_`L<)<5EA&Y#,51497097000120,SIM,PAULO AULER REPRESENTACOES LTDA ME SC,2240,SOCIEDADE SIMPLES LIMITADA,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,NAO,NAO
"P`&]=DTO'TLRZRAVS@BG9/",52728540000190,SIM,BAR & PIZZARIA S Y LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,SIM,NAO
"BD_`E:[HM%+.1L+1B=@,@(",44622934000130,SIM,ANTONIO SEDANO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"NF\W3)G5W)5CTR"",8\+$Q*",6333320000140,SIM,CONDOMINIO RIO CERRO,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
"H_DHD4:);3*F<GJ'29Z\1*",3283889000150,SIM,LS TURISMO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
"JI[T2T"">^JKC-^^O""CZ2Y,",8600190000190,SIM,ANNE COMERCIO DE COSMETICOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
M.(YV34!5EI+(4?(E`B?H(,1972593000110,SIM,IGREJA PRESBITERIANA DO BRASIL EM JOAO NEIVA,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
OU:>;I%]Y72Z(<I945/_V*,6059707000150,SIM,CONDOMINIO DO EDIFICIO TORRES DEL MARE,3085,CONDOMINIO EDILICIO,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
FMKW<@THO*M`\.A?7A:@Q0,6912070000100,SIM,CASA DE CARNES DELICATESSE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
"J""UX^[[>PBCVF,AX*%H=C*",12007462000110,SIM,MOMENTO MASSAGEM LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"I8K;2M:\>;'XZ?%N/;XHW,",17282385000200,NAO,LOPES ASSIS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"H\(:/=S<:91D9UV@G(#:%""",34692962000170,SIM,COMERCIAL SO CARNE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
"P(2ZL9-)/]LWS;TC$!<%""'",5587716000150,SIM,ELETRORAPIDO COMERCIO VAREJISTA E SERVICOS ELETRICOS EIRELI ME,2305,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
I-=81M*QD8M=W+:.YK^CF*,8202492000100,SIM,EQUIPADAO COMERCIO VAREJISTA DE ACESSORIOS PARA VEICULOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
"BKJWIG'L+""Y<8!Z?DOZ&;+",10917216000170,SIM,ASSOCIACAO PILARENSE DE RADIODIFUSAO COMUNITARIA,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
LOL^=:%IDZS[)@F)!@G:-/,4227467000200,NAO,ESSENCIA COMERCIAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,ALTA,SIM,NAO,NAO
GXN20-3.+>LFI#E4UN96:0,10250006000170,SIM,INESSA PEREIRA DE LIMA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"AXOL[Z`5H""8\KXK>_FU!+(",48905509000100,SIM,E G CON ENGENHARIA E CONSTRUCOES LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
G0X.HT:U_NFG+M^3##E=.+,12531634000150,SIM,SUSSEX EMPREENDIMENTOS IMOBILIARIOS,2232,SOCIEDADE SIMPLES PURA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
JS=C\HFMQ5B[TT)\T7C?D/,7093824000100,SIM,ANTONIO CARLOS A S DA SILVA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
"M8/]UZS,O.]^<UAU/CP<6%",16764728000120,SIM,ELEICAO 2012 ALCIDEA DE CARVALHO PEREIRA VEREADOR,4090,CANDIDATO A CARGO POLITICO ELETIVO,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
B8O-&6BE!5TH86+SP4C>$&,13002771000160,SIM,R O DA SILVA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
K*80X2>DZCMM-R15!S:N50,4064415000180,SIM,ASSOCIACAO DE PRODUTORES ORGANICOS DE MATO GROSSO DO SUL,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
"BEPO%*;D!""+*=@DOV3[([!",12240601000150,SIM,PIRES RESTAURANTE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"O'/*K]""BA_2BM#7']8XCT-",10388707000170,SIM,ARTIFICIO MODA E COMPLEMENTOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,NAO
KZ8O;GT]*O?:M?J7.:SCP!,16957122000100,SIM,REISPLAST INDUSTRIA E COMERCIO DE POLIMEROS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,ALTA,SIM,SIM,NAO
"NE8QD*1E@E(SN""1L""5M08'",7083592000100,SIM,CORDAO DA CONFRARIA DO PERU SADIO,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"BQ'&AMDPRX6;!)=QJZ.^>,",13095308000100,SIM,JOSE ANTONIO CABRAL CARDIM JUNIOR MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"K>4=$TA#RMY[\\RRB,[!^$",10341474000150,SIM,ASSOCIACAO FAMILIAR DOS AGRICULTORES VASCONCELOS PRUDENCIO,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"IZOWAC!=[5WW@F'#CV3*T'",88304779000180,SIM,IMOBILIARIA WENCESLAU ESCOBAR LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
L`%_S8A;89J2JYK@Q%F35),6801036000150,SIM,ELEICOES 2004 CF SIMONESIA MG COMITE FINANC MUN UNICO PSDC,3999,ASSOCIACAO PRIVADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"B?9SY$R+,8UBA_I7@<E]F,",5222857000170,SIM,ELEICAO 2002 CANDIDATO COSMO JOSE CALHEIROS PEDROSA,4090,CANDIDATO A CARGO POLITICO ELETIVO,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
FN0RV0`.(:HA_==436;&U.,12102596000110,SIM,TERESINA DIESEL PECAS E VEICULOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
C[;/><@6Q`:!F!(^;73YT/,14677231000220,NAO,J C ROCHA DE TEIXEIRA DE FREITAS,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"G;XZ>5:688:]=K,XE'JNV,",9673428000170,SIM,ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR RS PMDB,3999,ASSOCIACAO PRIVADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
OPZ=`SN[_-^N/M(:M?A(F&,12458759000100,SIM,ELEICAO 2010 CLEIDE NAGATA DA SILVA DEPUTADO ESTADUAL,4090,CANDIDATO A CARGO POLITICO ELETIVO,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"E,.4?/R""D%E*Q[3(;EC-`&",14143424000110,SIM,ALMIR FERNANDES VIEIRA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"O[]/B]-AXF(.$),0D6>;8'",6628323000100,SIM,ELEICOES 2004 DIRCEU ROQUE MACHADO DA SILVA VEREADOR,4090,CANDIDATO A CARGO POLITICO ELETIVO,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"OLQ7X!`@)YVXE66FQ6M:],",53127841000120,SIM,AMERICAN COSMETICOS INDUSTRIA E COMERCIO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"E-"";2'*2K3V5&L*EE#MM1'",4532501000170,SIM,PROMETEUS CONSULTORIA EM INFORMATICA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"H4G/_;ZBFUE144*$^\43\'",11522759000150,SIM,R NONATO TAVARES ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"F)V;""7+L8O;;7*84''LYP&",4428945000160,SIM,TALHA SOFTWARE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"IDUB/3-MJ<81ST_M1;:P'""",2725486000150,SIM,QUEIROZ E QUERINO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
E68Z_Q8Z@?G2(0^KFVLK<#,40197071000140,SIM,KRIS FARMA COMERCIAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"MTK=-[*""@'(X2FMT\8#X""$",9121589000150,SIM,D C BOMFIM TRANSPORTES LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
AGS9X4]AY]S8CN*AJG]!R-,81245201000150,SIM,MADEREIRA VANDA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERMELHO,MEDIA,SIM,NAO,NAO
"CI`72N+W;]Z[""DS+KY(?B(",6132909000180,SIM,RIOS & RIOS RESTAURANTE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
O0OMJ$DPDJ.!BL=K-$_2I.,14178068000170,SIM,MORGANA BARBARA CAVALCANTE SAMPAIO MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"NPB.Y[135<))K0!.\38\7'",5529755000100,SIM,M A MACHADO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,ALTA,SIM,NAO,NAO
I8EVUX:K#T43YL-);BNN9!,13890803000100,SIM,MOISES BITTENCOURT DE OLIVEIRA MEI,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"K@NRO46<RI940PGG+PX*9,",14620717000140,SIM,TRADE FOOD COMERCIO E DISTRIBUIDORA DE FRIOS CONSERVAS E LATICINIOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"L.G7N!%E_2C%W$PS*):,/*",15590074000100,SIM,LANCHONETE E RESTAURANTE GURGEL S EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"I+RT5^%Z7GO6E?)UU3%W:'",2614634000160,SIM,EDUARDO GUSMAO DE CASTRO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
KXWY#FVNIS?NGKBBTI^R)),11750032000120,SIM,ELIZETE APARECIDA FAUSTINO MEI,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
BJ$]XNB(:^9)HO)>_$.12-,12557067000100,SIM,ADRIANA CRISTINA RODRIGUES CARRIEL ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
O2$7T!SO?//V5VR(P9<Q(-,74085382000130,SIM,GONCALVES DIEHL & CIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
J!UG.S6/[.SIZMB$[D3.V.,12658201000160,SIM,DEIDE LUCIA OLIVEIRA DA TRINDADE MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,SIM
J(XGZW]Q]`90P&P^0DN_D&,14851445000190,SIM,RAFFAEL DE OLIVEIRA CORREA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,SIM
"C#M[!VJL]'AY@5N*#""/A2#",10801729000110,SIM,AJ MELLO SERVICOS GRAFICOS LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
D%-V-./50.W:!>_+\(D6V-,12704377000100,SIM,ROGERIO FURTADO KONRADT ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"O3(&*4/^QI'$VL@,3:?0Y%",10892150000100,SIM,VALERIA BORGES MONTEIRO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,ALTA,SIM,NAO,NAO
"FME?PDP09=LDSJ7SHYG,:0",7843714000100,SIM,JORMARIA TRINDADE DAMASCENO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"L^E*H""27KQ6""^4=L9&=(G,",13381517000110,SIM,ALDORANDO PORFIRIO DE SOUZA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"H@CB?@SC_%%3D<^'FU.1`.",15234348000110,SIM,ADELIO SANTOS COSTA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,SIM
"O$%,]1""8H8W]<^8F):/B&'",15235141000160,SIM,ANICE BUSCH SAND MEI,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,VERDE,INATIVA,SIM,SIM,SIM
"NT'!A7'5A*YW0<Z+JY7*Q!",10805850000110,SIM,CEVAT CENTRO EDUCACIONAL DE VALORIZACAO DE TRANSITO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
JB%4Z6CD5O##=MD^0$<QP(,12399089000190,SIM,ADIR MIRANDA OLIVEIRA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,SIM
"H@+4E1!#$S,I=-DPW2H`9/",12290922000160,SIM,COSME DE SOUSA SANTOS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,NAO
C)!_[>3U36?.Z00=P27#T),33870163027970,NAO,BANCO ALVORADA SA,2054,SOCIEDADE ANONIMA FECHADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
D^K6I%;;2Z%%\4IV)&W@M/,63492698000120,SIM,HERME LOPES FERREIRA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"B77;$Z)2Z6&`+<4L05/7D""",5418250000160,SIM,R G F PARTICIPACOES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"N1F@JCQ4=WM!ES1""2C!S.+",77070639000330,NAO,PEDREIRAS BOSCARDIN EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
K+F%JMK\I+<!!W#PM@@VS*,2692619000130,SIM,MACHADO & INOCENCIO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
